GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
oficina360,com.techchallenger.oficina360.mappers,ServicoCommandMapper,0,23,0,0,0,9,0,2,0,2
oficina360,com.techchallenger.oficina360.mappers,OrdemServicoCommandMapper,0,104,0,4,0,35,0,7,0,5
oficina360,com.techchallenger.oficina360.mappers,ClienteCommandMapper,0,24,0,0,0,10,0,2,0,2
oficina360,com.techchallenger.oficina360.mappers,EstoqueCommandMapper,0,31,0,0,0,13,0,2,0,2
oficina360,com.techchallenger.oficina360.mappers,VeiculoCommandMapper,0,29,0,0,0,12,0,2,0,2
oficina360,com.techchallenger.oficina360.dtos.estoques,EstoqueDTO,0,21,0,0,0,1,0,1,0,1
oficina360,com.techchallenger.oficina360.usecases.ordemservico,EditarOrdemServicoUseCase,35,18,0,0,6,7,1,1,1,1
oficina360,com.techchallenger.oficina360.usecases.ordemservico,DeletarOrdemServicoUseCase,10,9,0,0,3,4,1,1,1,1
oficina360,com.techchallenger.oficina360.usecases.ordemservico,FinalizarExecucaoUseCase,26,18,0,0,7,7,1,1,1,1
oficina360,com.techchallenger.oficina360.usecases.ordemservico,IniciarExecucaoUseCase,13,9,0,0,4,4,1,1,1,1
oficina360,com.techchallenger.oficina360.usecases.ordemservico,AbrirOrdemServicoUseCase,36,15,0,0,7,6,1,1,1,1
oficina360,com.techchallenger.oficina360.usecases.ordemservico,BuscarOrdemServicoPorIdUseCase,0,12,0,0,0,4,0,2,0,2
oficina360,com.techchallenger.oficina360.usecases.ordemservico,AprovarOrcamentoUseCase,43,12,6,0,11,5,5,1,2,1
oficina360,com.techchallenger.oficina360.usecases.ordemservico,ListarOrdensServicoUseCase,32,6,0,0,12,3,2,1,2,1
oficina360,com.techchallenger.oficina360.usecases.ordemservico,ConsultarStatusOsUseCase,8,6,0,0,2,3,1,1,1,1
oficina360,com.techchallenger.oficina360.usecases.ordemservico,DiagnosticarOrdemServicoUseCase,113,24,4,0,24,9,5,1,3,1
oficina360,com.techchallenger.oficina360.usecases.estoque,BuscarItemEstoqueUseCase,0,22,0,0,0,5,0,3,0,3
oficina360,com.techchallenger.oficina360.usecases.estoque,ExcluirItemEstoqueUseCase,0,19,0,0,0,7,0,2,0,2
oficina360,com.techchallenger.oficina360.usecases.estoque,ReservarEstoqueUseCase,0,26,0,0,0,8,0,2,0,2
oficina360,com.techchallenger.oficina360.usecases.estoque,ListarItensEstoqueUseCase,0,14,0,0,0,7,0,2,0,2
oficina360,com.techchallenger.oficina360.usecases.estoque,EditarItemEstoqueUseCase,0,34,0,0,0,8,0,2,0,2
oficina360,com.techchallenger.oficina360.usecases.estoque,CriarItemEstoqueUseCase,0,32,0,2,0,9,0,3,0,2
oficina360,com.techchallenger.oficina360.frameworks.mappers.cliente,ClienteDTOMapper,0,117,0,8,0,46,0,12,0,8
oficina360,com.techchallenger.oficina360.dtos.consultarstatus,ConsultarStatusDTO,0,6,0,0,0,1,0,1,0,1
oficina360,com.techchallenger.oficina360.frameworks.security,UsuarioSecurityDetails,3,23,0,0,1,6,1,4,1,4
oficina360,com.techchallenger.oficina360.frameworks.security,JwtAuthenticationFilter,0,62,1,7,0,17,1,6,0,3
oficina360,com.techchallenger.oficina360.frameworks.security,SecurityConfig,0,210,0,0,0,31,0,6,0,6
oficina360,com.techchallenger.oficina360.frameworks.security,UserDetailsServiceImpl,0,18,0,0,0,3,0,2,0,2
oficina360,com.techchallenger.oficina360.usecases.veiculo.exception,PlacaJaExisteException,0,4,0,0,0,2,0,1,0,1
oficina360,com.techchallenger.oficina360.dtos.ordemservico.detalhes,PecasInsumosAdicionadosDTO,0,15,0,0,0,1,0,1,0,1
